date	by-2.0	by-nc-2.0	by-nc-nd-2.0	by-nc-sa-2.0	by-nd-2.0	by-sa-2.0
2007-03-18	3595219	4503210	11254118	8934128	1146492	2476921
2007-03-19	3604708	4514643	11289745	8959566	1150552	2487167
2007-03-20	3612792	4526888	11314495	8983241	1153257	2491997
2007-03-21	3619063	4542047	11346868	9007868	1155321	2501954
2007-03-22	3624965	4552685	11388617	9025891	1158346	2504672
2007-03-23	3620492	4560301	11409957	9035781	1160477	2507652
2007-03-24	3622967	4573263	11437211	9054392	1161817	2513905
2007-03-25	3625827	4583230	11463816	9079925	1163194	2519428
2007-03-26	3634443	4599433	11507406	9109315	1170443	2526279
2007-03-27	3642915	4608835	11537817	9130158	1175314	2531359
2007-03-28	3644116	4613088	11567948	9130338	1178773	2530768
2007-03-29	3656710	4625726	11580982	9145287	1186531	2540276
2007-03-30	3662914	4637662	11604514	9163830	1189944	2546559
2007-03-31	3672420	4647393	11640337	9178813	1190604	2552644
2007-04-01	3682247	4666700	11672787	9202960	1193329	2561587
2007-04-02	3690924	4683995	11699896	9233180	1198683	2569703
2007-04-03	3697458	4697033	11721547	9256279	1201167	2576484
2007-04-04	3705866	4705810	11748843	9277130	1203956	2583524
2007-04-05	3711695	4714406	11777819	9296673	1206191	2586517
2007-04-06	3717882	4722419	11805716	9314240	1208777	2593851
2007-04-07	3730537	4727913	11842800	9334203	1210463	2605333
2007-04-08	3735529	4729003	11868994	9351776	1213311	2609755
2007-04-09	3742674	4744118	11909870	9373903	1216666	2618472
2007-04-10	3754835	4759414	11957707	9415724	1220549	2630469
2007-04-11	3763997	4769619	11992004	9437909	1223010	2637204
2007-04-12	3779454	4775921	12017078	9458646	1224812	2643240
2007-04-13	3793723	4791208	12044785	9477567	1227235	2645481
2007-04-14	3800975	4800541	12069428	9494120	1228538	2648614
2007-04-15	3812275	4809976	12084273	9511238	1232318	2648234
2007-04-16	3823095	4820640	12113923	9531341	1235796	2655540
2007-04-17	3828675	4827391	12132002	9545267	1236886	2660341
2007-04-18	3846525		12175126	9589405	1242124	2669164
2007-04-19	3850801	4853407	12194498	9600776	1243786	2673846
2007-04-20	3856303	4859797	12218000	9623757	1246429	2679481
2007-04-21	3853763	4869675	12238037	9638087	1249524	2683302
2007-04-22	3866413	4882670	12282774	9656287	1254498	2697806
2007-04-23	3876975	4897000	12321034	9685727	1258797	2710960
2007-04-24	3883654	4913974	12360620	9711913	1265631	2718759
2007-04-25	3899214	4918303	12386933	9736772	1268417	2724824
2007-04-26	3900318	4925954	12422215	9756968	1272512	2731987
2007-04-27	3908498	4936659	12438161	9778146	1274489	2741147
2007-04-28	3927396	4947811	12479431	9826694	1276021	2749806
2007-04-29	3937784	4963612	12518074	9846691	1279884	2756387
2007-04-30	3948111	4974091	12550984	9879870	1283730	2765145
2007-05-01	3958214	4979972	12590722	9907334	1288045	2771990
2007-05-02	3970431	4987981	12627441	9929590	1290483	2779523
2007-05-03	3975120	4996464	12673560	9937997	1292157	2785621
2007-05-04	3980857	5005425	12699972	9957918	1294134	2792369
2007-05-05	3984126	5025706	12726478	9948717	1297530	2799248
2007-05-06	3993735	5042024	12765758	9974548	1300553	2806252
2007-05-07	4006639	5058380	12812301	10008889	1304487	2817395
2007-05-08	4021405	5075610	12833983	10043804	1310074	2824156
2007-05-09	4033923	5084946	12859349	10067324	1313336	2831544
2007-05-10	4041759	5098108	12888172	10086548	1317316	2838367
2007-05-11	4049215	5104531	12918399	10105592	1324385	2843592
2007-05-12	4057215	5116307	12926385	10120801	1326221	2850189
2007-05-13	4067086	5128689	12951846	10141623	1328404	2855860
2007-05-14	4082645	5139578	12987559	10168112	1331603	2864222
2007-05-15	4093085	5150694	13023260	10186294	1331599	2869757
2007-05-16	4093602	5158594	13066741	10202523	1332876	2876852
2007-05-17	4100488	5166150	13083574	10219954	1331481	2881605
2007-05-18	4107539	5175906	13122538	10238023	1330489	2889501
2007-05-19	4116562	5185024	13142671	10253385	1331804	2895921
2007-05-20	4127033	5198766	13173567	10275537	1335106	2904806
2007-05-21	4133866	5212383	13210421	10309117	1341715	2912935
2007-05-22	4147905	5222250	13252684	10340891	1345523	2919843
2007-05-23	4164345	5228539	13280994	10366342	1345152	2932205
2007-05-25	4173661	5250116	13343808	10416273	1348842	2945453
2007-05-26	4187842	5257260	13369972	10442471	1353141	2951826
2007-05-27	4201950	5269180	13401687	10457785	1348752	2960083
2007-05-28	4210374	5286119	13434819	10489867	1353736	2969445
2007-05-29	4223822	5297732	13483587	10525984	1356774	2975701
2007-05-30	4233696	5309885	13534497	10554392	1358560	2981143
2007-05-31	4253823	5318840	13562631	10577371	1363277	2994822
2007-06-01	4261620	5331950	13589585	10597337	1367120	3006788
2007-06-02	4268854	5338023	13614326	10620537	1355240	3016901
2007-06-03	4277721	5350484	13645851	10645460	1357130	3025168
2007-06-04	4288832	5365251	13677072	10675418	1363161	3035886
2007-06-05	4302866	5377892	13717316	10697767	1374782	3042832
2007-06-06	4309974	5386422	13754547	10715983	1377250	3048178
2007-06-07	4313858	5395869	13777606	10738300	1379586	3053558
2007-06-08	4314620	5405084	13789445	10758847	1384965	3056354
2007-06-09	4321781	5413553	13809502	10775466	1388032	3058585
2007-06-10	4329284	5422972	13841460	10803685	1391178	3066114
2007-06-11	4336194	5440528	13881446	10828404	1397569	3078946
2007-06-12	4342597	5451519	13908956	10867237	1400917	3082981
2007-06-13	4354657	5468537	13914881	10901684	1405783	3088569
2007-06-14	4364965	5475337	13939867	10926103	1408970	3093176
2007-06-15	4369539	5484553	13970213	10938932	1412798	3085465
2007-06-16	4381349	5493325	13989273	10959260	1417882	3091257
2007-06-17	4386793	5511574	14000513	10999392	1421098	3095025
2007-06-19	4413008	5543588	14077093	11073064	1426539	3115127
2007-06-20	4418722	5556168	14096049	11093645	1430675	3119739
2007-06-21	4427171	5562493	14105942	11120514	1441176	3123520
